id,title,authors,year,journal,doi,url,source_database,open_access_pdf_path,screening_status,reason_for_inclusion,notes
doiapp151810259,Machine Learning-Based Data Quality Assessment for the Textile and Clothing Digital Product Passport,Estrela Ferreira Cruz and Pedro Silva and Sérgio Serra and Rodrigo Vieira Rodrigues and Marcelo de Carvalho Alves and João Fernando Gomes de Oliveira and António Miguel Rosado da Cruz,2025,Applied Sciences,10.3390/app151810259,https://doi.org/10.3390/app151810259,OpenAlex,,included,"Matched search string: ""digital product passport"" ""data quality""",OpenAlex ID: https://openalex.org/W4414392392; No legal OA PDF URL found by API.
doipreprints202507231,Machine Learning-Based Data Quality Assessment for the Textile and Clothing Digital Product Passport,Estrela Ferreira Cruz and Pedro Silva and Sérgio Serra and Rodrigo Lins Rodrigues and Marcelo de Carvalho Alves and João Fernando Gomes de Oliveira and António Miguel Rosado da Cruz,2025,Preprints.org,10.20944/preprints202507.2314.v1,https://doi.org/10.20944/preprints202507.2314.v1,OpenAlex,,included,"Matched search string: ""digital product passport"" ""data quality""",OpenAlex ID: https://openalex.org/W4412737542; PDF download failed: 403 Client Error: Forbidden for url: https://www.preprints.org/frontend/manuscript/3714ed82328e5d160e60851035d395b4/download_pub
doiimds0420240403,Sharing data to implement the circular economy: the case of digital product passports,Felicia-Adina Kemmner and Hervé Legenvre and Ari‐Pekka Hameri,2025,Industrial Management & Data Systems,10.1108/imds-04-2024-0403,https://doi.org/10.1108/imds-04-2024-0403,OpenAlex,,included,"Matched search string: ""digital product passport"" ""data quality""",OpenAlex ID: https://openalex.org/W4414153726; No legal OA PDF URL found by API.
doi012035,A comprehensive review of material information traceability frameworks for CO <sub>2</sub> emission reduction in the Built Environment,Mojtaba Sedaghat and Antonio García Martínez and Shayesteh Hamidkhaniha,2025,IOP Conference Series Earth and Environmental Science,10.1088/1755-1315/1568/1/012035,https://doi.org/10.1088/1755-1315/1568/1/012035,OpenAlex,,included,"Matched search string: ""digital product passport"" ""data quality""",OpenAlex ID: https://openalex.org/W7117485010; No legal OA PDF URL found by API.
doi978303178955719,Designing an Ontology Network for Digital Product Passports,Maike Jansen and Eva Blomqvist and Robin Keskisärkkä and Huanyu Li and Mikael Lindecrantz and Karin Wannerberg and André Pomp and Tobias Meisen and Holger Berg,2025,Lecture notes in computer science,10.1007/978-3-031-78955-7_19,https://doi.org/10.1007/978-3-031-78955-7_19,OpenAlex,,included,"Matched search string: ""digital product passport"" ""data quality""",OpenAlex ID: https://openalex.org/W4406870762; No legal OA PDF URL found by API.
doi978303211976623,Integrating Digital Product Passports in E-Commerce: An Architectural Framework for Sustainability and AI-Driven Value,Martin Tamm and Dirk Draheim and Tanel Tammet and Ingrid Pappel,2025,Lecture notes in computer science,10.1007/978-3-032-11976-6_23,https://doi.org/10.1007/978-3-032-11976-6_23,OpenAlex,,included,"Matched search string: ""digital product passport"" ""data quality""",OpenAlex ID: https://openalex.org/W4416906522; No legal OA PDF URL found by API.
log_search_semantic_scholar_digital_product_pass,"Search failure for ""digital product passport"" ""data quality""",,,,,,search_semantic_scholar,,search_error,API search attempted but failed.,429 Client Error:  for url: https://api.semanticscholar.org/graph/v1/paper/search?query=%22digital+product+passport%22+%22data+quality%22&limit=5&fields=title%2Cauthors%2Cyear%2Cvenue%2CexternalIds%2Curl%2CopenAccessPdf; No legal OA PDF URL found by API.
doijijpe2021108041,Contracting green product supply chains considering marketing efforts in the circular economy era,Guo Li and Huamin Wu and Suresh Sethi and Xiang Zhang,2021,International Journal of Production Economics,10.1016/j.ijpe.2021.108041,https://doi.org/10.1016/j.ijpe.2021.108041,OpenAlex,,included,"Matched search string: ""circular economy"" contracts ""supply chain""",OpenAlex ID: https://openalex.org/W3129077816; No legal OA PDF URL found by API.
doijjclepro201612038,Institutional incentives in circular economy transition: The case of material use in the Dutch textile industry,Aglaia Fischer and Stefano Pascucci,2016,Journal of Cleaner Production,10.1016/j.jclepro.2016.12.038,https://doi.org/10.1016/j.jclepro.2016.12.038,OpenAlex,,included,"Matched search string: ""circular economy"" contracts ""supply chain""",OpenAlex ID: https://openalex.org/W2564688125; PDF download failed: 403 Client Error: Forbidden for url: https://www.sciencedirect.com/science/article/pii/S0959652616320935
doi136755672021187251,The role of block chain technology in circular economy practices to improve organisational performance,Syed Abdul Rehman Khan and Zhang Yu and Salman Sarwat and Danish Iqbal Godil and Sumeela Amin and Sobia Shujaat,2021,International Journal of Logistics Research and Applications,10.1080/13675567.2021.1872512,https://doi.org/10.1080/13675567.2021.1872512,OpenAlex,,included,"Matched search string: ""circular economy"" contracts ""supply chain""",OpenAlex ID: https://openalex.org/W3118758084; PDF download failed: 403 Client Error: Forbidden for url: https://www.tandfonline.com/doi/pdf/10.1080/13675567.2021.1872512?needAccess=true
dois12063021001805,Application of blockchain technology for sustainability development in agricultural supply chain: justification framework,Archana A. Mukherjee and Rajesh Kumar Singh and Ruchi Mishra and Surajit Bag,2021,Operations Management Research,10.1007/s12063-021-00180-5,https://doi.org/10.1007/s12063-021-00180-5,OpenAlex,,included,"Matched search string: ""circular economy"" contracts ""supply chain""",OpenAlex ID: https://openalex.org/W3124352925; No legal OA PDF URL found by API.
doijjclepro2022135135,Unveiling coordination contracts’ roles considering circular economy and eco-innovation toward pharmaceutical supply chain resiliency: Evidence of an emerging economy,Hannan Amoozad Mahdiraji and Kannan Govindan and Fatemeh Yaftiyan and Jose Arturo Garza‐Reyes and Seyed Hossein Razavi Hajiagha,2022,Journal of Cleaner Production,10.1016/j.jclepro.2022.135135,https://doi.org/10.1016/j.jclepro.2022.135135,OpenAlex,,included,"Matched search string: ""circular economy"" contracts ""supply chain""",OpenAlex ID: https://openalex.org/W4308902619; No legal OA PDF URL found by API.
doibse3549,Buyer–supplier partnerships and circular economy performance in food supply chains: Serial mediation by commitment contract and innovation performance,Surajit Bag and Muhammad Sabbir Rahman and Gautam Srivastava and Peter Kilbourn and Nishikant Mishra,2023,Business Strategy and the Environment,10.1002/bse.3549,https://doi.org/10.1002/bse.3549,OpenAlex,,included,"Matched search string: ""circular economy"" contracts ""supply chain""",OpenAlex ID: https://openalex.org/W4386163152; PDF download failed: 403 Client Error: Forbidden for url: https://hull-repository.worktribe.com/file/4378159/1/Accepted%20manuscript
doisu13052895,Digitalizing the Closing-of-the-Loop for Supply Chains: A Transportation and Blockchain Perspective,Abdelghani Bekrar and Abdessamad Ait El Cadi and Raca Todosijević and Joseph Sarkis,2021,Sustainability,10.3390/su13052895,https://doi.org/10.3390/su13052895,OpenAlex,,included,"Matched search string: ""circular economy"" contracts ""supply chain""",OpenAlex ID: https://openalex.org/W3135837256; PDF download failed: 403 Client Error: Forbidden for url: https://www.mdpi.com/2071-1050/13/5/2895/pdf?version=1615343056
doi002075432019165684,Product line design and quality differentiation for green and non-green products in a supply chain,Bin Shen and Yifan Cao and Xiaoyan Xu,2019,International Journal of Production Research,10.1080/00207543.2019.1656843,https://doi.org/10.1080/00207543.2019.1656843,OpenAlex,,included,"Matched search string: ""circular economy"" contracts ""supply chain""",OpenAlex ID: https://openalex.org/W2970752444; No legal OA PDF URL found by API.
doi97830318656262,"The Circular Supply Chain Framework: Strategies, Concepts, and Advantages of Embracing Circular Economy in Supply Chains",K. Vanisri and A. Senthamizhselvi and Sunitha Sankaravarman and I. Joseph Arc Leo,2025,Circular Economy and Sustainability,10.1007/978-3-031-86562-6_2,https://doi.org/10.1007/978-3-031-86562-6_2,Crossref,,included,"Matched search string: ""circular economy"" contracts ""supply chain""",No legal OA PDF URL found by API.
doi97810032520168,Supply Chain Issues in the Circular Economy,Ifeyinwa Juliet Orji and Frank Ojadi,2022,The Circular Supply Chain,10.1201/9781003252016-8,https://doi.org/10.1201/9781003252016-8,Crossref,,included,"Matched search string: ""circular economy"" contracts ""supply chain""",No legal OA PDF URL found by API.
doi97810032520169,Sustainable Supply Chain Operations in the Circular Economy,Ifeyinwa Juliet Orji and Frank Ojadi,2022,The Circular Supply Chain,10.1201/9781003252016-9,https://doi.org/10.1201/9781003252016-9,Crossref,,included,"Matched search string: ""circular economy"" contracts ""supply chain""",No legal OA PDF URL found by API.
doi9783110473803005,Circular Supply Chain: Combining Supply Chain Strategy and Circular Economy,Werner Jammernegg and Gerald Reiner and Tina Wakolbinger,2018,Handbuch Produktions- und Logistikmanagement in Wertschöpfungsnetzwerken,10.1515/9783110473803-005,https://doi.org/10.1515/9783110473803-005,Crossref,,included,"Matched search string: ""circular economy"" contracts ""supply chain""",No legal OA PDF URL found by API.
doiuyjn7957,Enhancing Sustainable Supply Chain Performance Through Circular Economy Practices: The Mediating Role of Supply Chain Capability and Flexibility,Esther Ntumy Lartey and Emmanuel Amikiya,2025,Journal of Circular Economy,10.55845/uyjn7957,https://doi.org/10.55845/uyjn7957,Crossref,,included,"Matched search string: ""circular economy"" contracts ""supply chain""",No legal OA PDF URL found by API.
log_search_semantic_scholar_circular_economy_con,"Search failure for ""circular economy"" contracts ""supply chain""",,,,,,search_semantic_scholar,,search_error,API search attempted but failed.,429 Client Error:  for url: https://api.semanticscholar.org/graph/v1/paper/search?query=%22circular+economy%22+contracts+%22supply+chain%22&limit=5&fields=title%2Cauthors%2Cyear%2Cvenue%2CexternalIds%2Curl%2CopenAccessPdf; No legal OA PDF URL found by API.
doiijltemas2025141200,"Architecting Prosperity: Public Procurement as the Foundational Blueprint for Ghana’s Digital, Green, and Self-Sufficient Economic Future",Simon Suwanzy Dzreke and Semefa Elikplim Dzreke,2025,International Journal of Latest Technology in Engineering Management & Applied Science,10.51583/ijltemas.2025.1412000032,https://doi.org/10.51583/ijltemas.2025.1412000032,OpenAlex,lit/pdfs/doiijltemas2025141200_architecting_prosperity_public_procurement_as.pdf,included,"Matched search string: ""circular economy clauses"" contracts",OpenAlex ID: https://openalex.org/W7117702953
doiej9781571053558i65,"Chapter 10. ""English Clauses,"" Most-favored Customer Clauses and First-refusal Clauses in International Contracts",,2006,Drafting International Contracts,10.1163/ej.9781571053558.i-654.51,https://doi.org/10.1163/ej.9781571053558.i-654.51,Crossref,,included,"Matched search string: ""circular economy clauses"" contracts",No legal OA PDF URL found by API.
doiej9789004176799i65,"Chapter 10. ""English Clauses,"" Most-Favored Customer Clauses And First-Refusal Clauses In International Contracts",M. Fontaine and F. De Ly,2010,Drafting International Contracts,10.1163/ej.9789004176799.i-654.51,https://doi.org/10.1163/ej.9789004176799.i-654.51,Crossref,,included,"Matched search string: ""circular economy clauses"" contracts",No legal OA PDF URL found by API.
doi978019883280500300,Determination or Forfeiture Clauses,David Hopkins,2021,Wilmot-Smith on Construction Contracts,10.1093/oso/9780198832805.003.0013,https://doi.org/10.1093/oso/9780198832805.003.0013,Crossref,,included,"Matched search string: ""circular economy clauses"" contracts",No legal OA PDF URL found by API.
doiej9781571053558i65,Chapter 5. Confidentiality Clauses in International Contracts,,2006,Drafting International Contracts,10.1163/ej.9781571053558.i-654.28,https://doi.org/10.1163/ej.9781571053558.i-654.28,Crossref,,included,"Matched search string: ""circular economy clauses"" contracts",No legal OA PDF URL found by API.
doi978100336489414,Choice-of-court and choice-of-law clauses in digital consumer contracts,Ivana Kunda,2026,Consumer Protection and the Digital Economy,10.4324/9781003364894-14,https://doi.org/10.4324/9781003364894-14,Crossref,,included,"Matched search string: ""circular economy clauses"" contracts",No legal OA PDF URL found by API.
log_search_semantic_scholar_circular_economy_cla,"Search failure for ""circular economy clauses"" contracts",,,,,,search_semantic_scholar,,search_error,API search attempted but failed.,429 Client Error:  for url: https://api.semanticscholar.org/graph/v1/paper/search?query=%22circular+economy+clauses%22+contracts&limit=5&fields=title%2Cauthors%2Cyear%2Cvenue%2CexternalIds%2Curl%2CopenAccessPdf; No legal OA PDF URL found by API.
doi136755672020183775,Diffusion of circular economy practices in the UK wheat food supply chain,Álvaro Augusto Dossa and Andrew Gough and Luciano Batista and Kathleen Mortimer,2020,International Journal of Logistics Research and Applications,10.1080/13675567.2020.1837759,https://doi.org/10.1080/13675567.2020.1837759,OpenAlex,lit/pdfs/doi136755672020183775_diffusion_of_circular_economy_practices_in_th.pdf,included,"Matched search string: ""circular supply chain"" ""transaction cost economics""",OpenAlex ID: https://openalex.org/W3038410837
doi147833632025249402,"Closing the supply chain loop: enablers, strategies, and outcomes of blockchain implementation in reverse logistics",Kunle Francis Oguntegbe and Nadia Di Paola and Roberto Vona,2025,Total Quality Management & Business Excellence,10.1080/14783363.2025.2494026,https://doi.org/10.1080/14783363.2025.2494026,OpenAlex,,included,"Matched search string: ""circular supply chain"" ""transaction cost economics""",OpenAlex ID: https://openalex.org/W4410236530; No legal OA PDF URL found by API.
doibjopm20152024,Quantifying the influence of supplier relationship management and supply chain performance,Md Mehedi Hasan Emon and Tahsina Khan and Saleh Ahmed Jalal Siam,2024,Brazilian Journal of Operations & Production Management,10.14488/bjopm.2015.2024,https://doi.org/10.14488/bjopm.2015.2024,OpenAlex,,included,"Matched search string: ""circular supply chain"" ""transaction cost economics""",OpenAlex ID: https://openalex.org/W4393969728; No legal OA PDF URL found by API.
doiijlm1220190332,Supply chain management for circular economy: conceptual framework and research agenda,Benjamin T. Hazen and Ivan Russo and Ilenia Confente and Daniel Pellathy,2020,The International Journal of Logistics Management,10.1108/ijlm-12-2019-0332,https://doi.org/10.1108/ijlm-12-2019-0332,OpenAlex,,included,"Matched search string: ""circular supply chain"" ""transaction cost economics""",OpenAlex ID: https://openalex.org/W3111891150; PDF download failed: 403 Client Error: Forbidden for url: https://www.emerald.com/insight/content/doi/10.1108/IJLM-12-2019-0332/full/pdf?title=supply-chain-management-for-circular-economy-conceptual-framework-and-research-agenda
doien16021004,The Influence of Digital Transformation and Supply Chain Integration on Overall Sustainable Supply Chain Performance: An Empirical Analysis from Manufacturing Companies in Morocco,Imadeddine Oubrahim and Naoufal Sefiani and Ari Happonen,2023,Energies,10.3390/en16021004,https://doi.org/10.3390/en16021004,OpenAlex,,included,"Matched search string: ""circular supply chain"" ""transaction cost economics""",OpenAlex ID: https://openalex.org/W4316672828; PDF download failed: 403 Client Error: Forbidden for url: https://www.mdpi.com/1996-1073/16/2/1004/pdf?version=1673925050
dois4252402202304,How do digital technologies improve supply chain resilience in the COVID-19 pandemic? Evidence from Chinese manufacturing firms,Yu Ning and Lixu Li and Su Xiu Xu and Shuili Yang,2022,Frontiers of Engineering Management,10.1007/s42524-022-0230-4,https://doi.org/10.1007/s42524-022-0230-4,OpenAlex,lit/pdfs/dois4252402202304_how_do_digital_technologies_improve_supply_ch.pdf,included,"Matched search string: ""circular supply chain"" ""transaction cost economics""",OpenAlex ID: https://openalex.org/W4313456390
doiijlm0420220158,Designing circular supply chains in start-up companies: evidence from Italian fashion and construction start-ups,Federica Ciccullo and Margherita Pero and Pier Paolo Patrucco,2023,The International Journal of Logistics Management,10.1108/ijlm-04-2022-0158,https://doi.org/10.1108/ijlm-04-2022-0158,OpenAlex,,included,"Matched search string: ""circular supply chain"" ""transaction cost economics""",OpenAlex ID: https://openalex.org/W4320186824; PDF download failed: 403 Client Error: Forbidden for url: https://www.emerald.com/insight/content/doi/10.1108/IJLM-04-2022-0158/full/pdf?title=designing-circular-supply-chains-in-start-up-companies-evidence-from-italian-fashion-and-construction-start-ups
doiijopm072021903,Guest editorialEmerging research and future pathways in digital supply chain governance,Paolo Barbieri and Lisa M. Ellram and Marco Formentini and Joerg-Martin Ries,2021,International Journal of Operations & Production Management,10.1108/ijopm-07-2021-903,https://doi.org/10.1108/ijopm-07-2021-903,OpenAlex,,included,"Matched search string: ""circular supply chain"" ""transaction cost economics""",OpenAlex ID: https://openalex.org/W3197840845; PDF download failed: 403 Client Error: Forbidden for url: https://www.emerald.com/insight/content/doi/10.1108/IJOPM-07-2021-903/full/pdf?title=guest-editorialemerging-research-and-future-pathways-in-digital-supply-chain-governance
doij1745493x201103253,Supply Chain‐Wide Consequences of Transaction Risks and Their Contractual Solutions: Towards an Extended Transaction Cost Economics Framework,Mark Wever and Petronella Maria Wognum and Jacques H. Trienekens and Simon Willem Frederik Omta,2012,Journal of Supply Chain Management,10.1111/j.1745-493x.2011.03253.x,https://doi.org/10.1111/j.1745-493x.2011.03253.x,Crossref,,included,"Matched search string: ""circular supply chain"" ""transaction cost economics""",No legal OA PDF URL found by API.
doijkt2025296209,Analyzing Supply Chain Efficiency of Korean Export Firms: A Transaction Cost Economics Perspective, and Sung-Je Cho Sung-Je Cho and Hyun-Hee Park Hyun-Hee Park,2025,Journal of Korea Trade,10.35611/jkt.2025.29.6.209,https://doi.org/10.35611/jkt.2025.29.6.209,Crossref,,included,"Matched search string: ""circular supply chain"" ""transaction cost economics""",No legal OA PDF URL found by API.
doi162583122016118858,Traceability and transaction governance: a transaction cost analysis in seafood supply chain,Van Dien Vo and Nicolas Mainetti and Pierre Fenies,2016,Supply Chain Forum: An International Journal,10.1080/16258312.2016.1188588,https://doi.org/10.1080/16258312.2016.1188588,Crossref,,included,"Matched search string: ""circular supply chain"" ""transaction cost economics""",No legal OA PDF URL found by API.
doi978183910450300011,Transaction cost economics,,2022,"Supply networks: dyads, triads and networks",10.4337/9781839104503.00011,https://doi.org/10.4337/9781839104503.00011,Crossref,,included,"Matched search string: ""circular supply chain"" ""transaction cost economics""",No legal OA PDF URL found by API.
log_search_semantic_scholar_circular_supply_chai,"Search failure for ""circular supply chain"" ""transaction cost economics""",,,,,,search_semantic_scholar,,search_error,API search attempted but failed.,429 Client Error:  for url: https://api.semanticscholar.org/graph/v1/paper/search?query=%22circular+supply+chain%22+%22transaction+cost+economics%22&limit=5&fields=title%2Cauthors%2Cyear%2Cvenue%2CexternalIds%2Curl%2CopenAccessPdf; No legal OA PDF URL found by API.
doi136755672021196510,Modelling hierarchical circular supply chain management enablers in the seafood processing industry in Vietnam under uncertainties,Ming‐Lang Tseng and Thi Phuong Thuy Tran and Minoru Fujii and Ming K. Lim and Yeneneh Tamirat Negash,2021,International Journal of Logistics Research and Applications,10.1080/13675567.2021.1965105,https://doi.org/10.1080/13675567.2021.1965105,OpenAlex,,included,"Matched search string: ""circular supply chain"" ""supplier collaboration""",OpenAlex ID: https://openalex.org/W3196003578; No legal OA PDF URL found by API.
doiijppm1220200676,Nexus of circular economy and sustainable business performance in the era of digitalization,Rohit Agrawal and Vishal Ashok Wankhede and Anil Kumar and Arvind Upadhyay and Jose Arturo Garza‐Reyes,2021,International Journal of Productivity and Performance Management,10.1108/ijppm-12-2020-0676,https://doi.org/10.1108/ijppm-12-2020-0676,OpenAlex,lit/pdfs/doiijppm1220200676_nexus_of_circular_economy_and_sustainable_bus.pdf,included,"Matched search string: ""circular supply chain"" ""supplier collaboration""",OpenAlex ID: https://openalex.org/W3134715436
doibse3170,Exploring sustainable logistics practices toward a circular economy: A value creation perspective,Chamari Pamoshika Jayarathna and Duzgun Agdas and Les Dawes,2022,Business Strategy and the Environment,10.1002/bse.3170,https://doi.org/10.1002/bse.3170,OpenAlex,,included,"Matched search string: ""circular supply chain"" ""supplier collaboration""",OpenAlex ID: https://openalex.org/W4282941774; PDF download failed: 403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/bse.3170
doijjclepro2021128629,Investigating drivers of circular supply chain with product-service system in automotive firms of an emerging economy,Ujjwal Nag and Satyendra Kumar Sharma and Kannan Govindan,2021,Journal of Cleaner Production,10.1016/j.jclepro.2021.128629,https://doi.org/10.1016/j.jclepro.2021.128629,OpenAlex,lit/pdfs/doijjclepro2021128629_investigating_drivers_of_circular_supply_chai.pdf,included,"Matched search string: ""circular supply chain"" ""supplier collaboration""",OpenAlex ID: https://openalex.org/W3193807453
doisu11247227,"Implementing Sustainable Supply Chain Management: Reactive, Cooperative, and Dynamic Models",Dominik Zimon and Jonah Tyan and Robert Sroufe,2019,Sustainability,10.3390/su11247227,https://doi.org/10.3390/su11247227,OpenAlex,,included,"Matched search string: ""circular supply chain"" ""supplier collaboration""",OpenAlex ID: https://openalex.org/W2996008176; PDF download failed: 403 Client Error: Forbidden for url: https://www.mdpi.com/2071-1050/11/24/7227/pdf?version=1576660793
doijspc202012018,A triple bottom line balanced set of key performance indicators to measure the sustainability performance of industrial supply chains,Alessandra Neri and Enrico Cagno and Marco Lepri and Andrea Trianni,2020,Sustainable Production and Consumption,10.1016/j.spc.2020.12.018,https://doi.org/10.1016/j.spc.2020.12.018,OpenAlex,,included,"Matched search string: ""circular supply chain"" ""supplier collaboration""",OpenAlex ID: https://openalex.org/W3113263848; PDF download failed: 403 Client Error: Forbidden for url: https://www.sciencedirect.com/science/article/pii/S2352550920314172
doijelerap2023101249,A framework to measure readiness and barriers for the implementation of Industry 4.0: A case approach,Kannan Govindan and Georgios Arampatzis,2023,Electronic Commerce Research and Applications,10.1016/j.elerap.2023.101249,https://doi.org/10.1016/j.elerap.2023.101249,OpenAlex,,included,"Matched search string: ""circular supply chain"" ""supplier collaboration""",OpenAlex ID: https://openalex.org/W4323660178; No legal OA PDF URL found by API.
doiscm1220240819,The double-edged impact of green supply chain collaboration on supplier greenwashing behavior: a perspective of supplier perception,Xuedong Wang and Xiaolong Zhao,2025,Supply Chain Management: An International Journal,10.1108/scm-12-2024-0819,https://doi.org/10.1108/scm-12-2024-0819,Crossref,,included,"Matched search string: ""circular supply chain"" ""supplier collaboration""",No legal OA PDF URL found by API.
doi201651022,Benchmarking Supplier Network Collaboration,Sheeba Pathak,2016,Journal of Supply Chain Management Systems,10.21863/jscms/2016.5.1.022,https://doi.org/10.21863/jscms/2016.5.1.022,Crossref,,included,"Matched search string: ""circular supply chain"" ""supplier collaboration""",No legal OA PDF URL found by API.
doissrn5291511,"Enhancing Supplier Collaboration: The Interplay Among Supply Chain Orientation, Strategic Purchasing, and Supply Base Orientation",Huifang Wu and Suicheng Li and Mengchao Wu,2025,,10.2139/ssrn.5291511,https://doi.org/10.2139/ssrn.5291511,Crossref,,included,"Matched search string: ""circular supply chain"" ""supplier collaboration""",No legal OA PDF URL found by API.
doi978100345122819,Integrating corporate social responsibility and supplier collaboration,Monika Jedynak,2024,Corporate Social Responsibility and the Supply Chain,10.4324/9781003451228-19,https://doi.org/10.4324/9781003451228-19,Crossref,,included,"Matched search string: ""circular supply chain"" ""supplier collaboration""",No legal OA PDF URL found by API.
doi97813152330004,Green Supplier Development and Collaboration,Joseph Sarkis and Yijie Dou,2017,Green Supply Chain Management,10.4324/9781315233000-4,https://doi.org/10.4324/9781315233000-4,Crossref,,included,"Matched search string: ""circular supply chain"" ""supplier collaboration""",No legal OA PDF URL found by API.
log_search_semantic_scholar_circular_supply_chai,"Search failure for ""circular supply chain"" ""supplier collaboration""",,,,,,search_semantic_scholar,,search_error,API search attempted but failed.,429 Client Error:  for url: https://api.semanticscholar.org/graph/v1/paper/search?query=%22circular+supply+chain%22+%22supplier+collaboration%22&limit=5&fields=title%2Cauthors%2Cyear%2Cvenue%2CexternalIds%2Curl%2CopenAccessPdf; No legal OA PDF URL found by API.
doi002075432019168113,Game theory applications in production research in the sharing and circular economy era,Tsan‐Ming Choi and Ata Allah Taleizadeh and Xiaohang Yue,2019,International Journal of Production Research,10.1080/00207543.2019.1681137,https://doi.org/10.1080/00207543.2019.1681137,OpenAlex,,included,"Matched search string: ""circular supply chain"" ""game theory""",OpenAlex ID: https://openalex.org/W2984925517; No legal OA PDF URL found by API.
doi002075432019168459,Game theory applications in production research in the sharing and circular economy era,Tsan‐Ming Choi and Ata Allah Taleizadeh and Xiaohang Yue,2019,International Journal of Production Research,10.1080/00207543.2019.1684593,https://doi.org/10.1080/00207543.2019.1684593,OpenAlex,,included,"Matched search string: ""circular supply chain"" ""game theory""",OpenAlex ID: https://openalex.org/W4242931086; No legal OA PDF URL found by API.
dois41660025006451,Overcoming Barriers To Circular Supply Chain Implementation for Drilling Waste Recycling in the Oil Industry: A Fuzzy Game Theory Approach,H. R. Yazdani and A. Hadi-Vencheh and Ali Jamshidi and M. Jalali,2026,Process Integration and Optimization for Sustainability,10.1007/s41660-025-00645-1,https://doi.org/10.1007/s41660-025-00645-1,OpenAlex,,included,"Matched search string: ""circular supply chain"" ""game theory""",OpenAlex ID: https://openalex.org/W7130819858; No legal OA PDF URL found by API.
doi172940612025325177,Optimization of pricing and ordering decisions under duopoly competition for new and remanufactured products in a circular supply chain,Debrina Puspita Andriani and Sugiono Sugiono and Lalu Tri Wijaya Nata Kusuma and Riesa Aliya Tuhfah and Muhammad Rizki Ardiansah,2025,Eastern-European Journal of Enterprise Technologies,10.15587/1729-4061.2025.325177,https://doi.org/10.15587/1729-4061.2025.325177,OpenAlex,,included,"Matched search string: ""circular supply chain"" ""game theory""",OpenAlex ID: https://openalex.org/W4410038360; No legal OA PDF URL found by API.
dois10668021020076,Implementation of the circular supply chain management in the pharmaceutical industry,Feroz Hassan Khan and Yousaf Ali,2022,Environment Development and Sustainability,10.1007/s10668-021-02007-6,https://doi.org/10.1007/s10668-021-02007-6,OpenAlex,,included,"Matched search string: ""circular supply chain"" ""game theory""",OpenAlex ID: https://openalex.org/W4206610635; OA URL did not return a PDF: text/html; charset=utf-8
doijgsf2023101669,Adoption of green finance and green innovation for achieving circularity: An exploratory review and future directions,Rohit Agrawal and Shruti Agrawal and Ashutosh Samadhiya and Anil Kumar and Sunil Luthra and Vranda Jain,2023,Geoscience Frontiers,10.1016/j.gsf.2023.101669,https://doi.org/10.1016/j.gsf.2023.101669,OpenAlex,,included,"Matched search string: ""circular supply chain"" ""game theory""",OpenAlex ID: https://openalex.org/W4383742957; No legal OA PDF URL found by API.
doirecycling7050079,Recycling Perspectives of Circular Business Models: A Review,Md Tasbirul Islam and Usha Iyer‐Raniga and Sean Trewick,2022,Recycling,10.3390/recycling7050079,https://doi.org/10.3390/recycling7050079,OpenAlex,,included,"Matched search string: ""circular supply chain"" ""game theory""",OpenAlex ID: https://openalex.org/W4306964106; PDF download failed: 403 Client Error: Forbidden for url: https://www.mdpi.com/2313-4321/7/5/79/pdf?version=1666262492
doi379081636131,The Potential of Cooperative Game Theory for Supply Chain Management,Jörn-Henrik Thun,2005,Research Methodologies in Supply Chain Management,10.1007/3-7908-1636-1_31,https://doi.org/10.1007/3-7908-1636-1_31,Crossref,,included,"Matched search string: ""circular supply chain"" ""game theory""",No legal OA PDF URL found by API.
doi978303186562610,"Human Entrepreneurship in Circular Supply Chain Management: A Synopsis of Theory, Practice and Future Pathways",Poonam Gulati and Sakshi Arora,2025,Circular Economy and Sustainability,10.1007/978-3-031-86562-6_10,https://doi.org/10.1007/978-3-031-86562-6_10,Crossref,,included,"Matched search string: ""circular supply chain"" ""game theory""",No legal OA PDF URL found by API.
doietd1808102502,A game theory model of the physician preference item supply chain,Cara J Dienes,2018,,10.31274/etd-180810-2502,https://doi.org/10.31274/etd-180810-2502,Crossref,,included,"Matched search string: ""circular supply chain"" ""game theory""",No legal OA PDF URL found by API.
doi19781611974287ch19,Chapter 19: Supply Chain,,2016,Game Theory with Engineering Applications,10.1137/1.9781611974287.ch19,https://doi.org/10.1137/1.9781611974287.ch19,Crossref,,included,"Matched search string: ""circular supply chain"" ""game theory""",No legal OA PDF URL found by API.
doi162583122023226544,Auditing a supply chain with environmental regulations: a game theory approach,Iman Ghalehkhondabi,2025,Supply Chain Forum: An International Journal,10.1080/16258312.2023.2265448,https://doi.org/10.1080/16258312.2023.2265448,Crossref,,included,"Matched search string: ""circular supply chain"" ""game theory""",No legal OA PDF URL found by API.
log_search_semantic_scholar_circular_supply_chai,"Search failure for ""circular supply chain"" ""game theory""",,,,,,search_semantic_scholar,,search_error,API search attempted but failed.,429 Client Error:  for url: https://api.semanticscholar.org/graph/v1/paper/search?query=%22circular+supply+chain%22+%22game+theory%22&limit=5&fields=title%2Cauthors%2Cyear%2Cvenue%2CexternalIds%2Curl%2CopenAccessPdf; No legal OA PDF URL found by API.
